,Time,Country,Young and Old to Working Age Dependency Ratio
364,2012,Brazil,45.03505806554715
365,2013,Brazil,44.45447738950073
366,2014,Brazil,43.99995562364726
367,2015,Brazil,43.68639979487236
368,2016,Brazil,43.41739224378012
369,2017,Brazil,43.217032467236386
370,2018,Brazil,43.15453519704619
371,2019,Brazil,43.14452887609127
372,2020,Brazil,43.113778725701486
373,2021,Brazil,43.10600925195019
374,2022,Brazil,43.159861818370196
375,2023,Brazil,43.298257361721596
376,2024,Brazil,43.50940945695168
377,2025,Brazil,43.75594009491183
378,2026,Brazil,44.03934944414698
379,2027,Brazil,44.366353595964924
380,2028,Brazil,44.73449424272546
381,2029,Brazil,45.096411026992705
382,2030,Brazil,45.42095216299205
383,2031,Brazil,45.77253341343902
384,2032,Brazil,46.13063216555898
385,2033,Brazil,46.43335917139233
386,2034,Brazil,46.752346140969806
387,2035,Brazil,47.156136273059815
388,2036,Brazil,47.62328214891028
389,2037,Brazil,48.125633116597044
390,2038,Brazil,48.661263222788435
391,2039,Brazil,49.219181676093534
392,2040,Brazil,49.8064415646326
393,2041,Brazil,50.430712945334456
394,2042,Brazil,51.1024265686831
395,2043,Brazil,51.83169206012286
396,2044,Brazil,52.62160422782245
397,2045,Brazil,53.46887310666958
398,2046,Brazil,54.369000145384604
399,2047,Brazil,55.32010959617305
400,2048,Brazil,56.30537898612482
401,2049,Brazil,57.30427177117237
402,2050,Brazil,58.30105181748932
403,2051,Brazil,59.28383041789572
404,2052,Brazil,60.255620175985634
405,2053,Brazil,61.216632837425536
406,2054,Brazil,62.1544597739311
407,2055,Brazil,63.065881154000344
408,2056,Brazil,63.95444225567054
409,2057,Brazil,64.822447235705
410,2058,Brazil,65.69388979372013
411,2059,Brazil,66.57632139561962
412,2060,Brazil,67.47117569779384
413,2061,Brazil,68.380607636212
414,2062,Brazil,69.29093112598437
415,2063,Brazil,70.2014469676979
416,2064,Brazil,71.08900575175866
417,2065,Brazil,71.93564336202927
418,2066,Brazil,72.73596014211687
419,2067,Brazil,73.46533337621011
420,2068,Brazil,74.09626928778124
421,2069,Brazil,74.68420003442158
422,2070,Brazil,75.27973889050713
423,2071,Brazil,75.8534795303564
424,2072,Brazil,76.36807503889675
425,2073,Brazil,76.81289435954685
426,2074,Brazil,77.23515089024036
427,2075,Brazil,77.65577130590461
428,2076,Brazil,78.07394095141325
429,2077,Brazil,78.47286903890047
430,2078,Brazil,78.83915677300605
431,2079,Brazil,79.23808030649691
432,2080,Brazil,79.70188316702676
433,2081,Brazil,80.12206457909011
434,2082,Brazil,80.51861681602982
435,2083,Brazil,80.99624055588748
436,2084,Brazil,81.45632343507236
437,2085,Brazil,81.80265922128899
438,2086,Brazil,82.0811895551856
439,2087,Brazil,82.34872037581115
440,2088,Brazil,82.61778502145326
441,2089,Brazil,82.89013966901106
442,2090,Brazil,83.16009277973725
443,2091,Brazil,83.43851157508969
444,2092,Brazil,83.7200721237858
445,2093,Brazil,83.99668196871552
446,2094,Brazil,84.26834759165214
447,2095,Brazil,84.5511357604062
448,2096,Brazil,84.85045597838466
449,2097,Brazil,85.15217053978414
450,2098,Brazil,85.44906987791938
451,2099,Brazil,85.7430714630064
452,2100,Brazil,86.03998904854845
453,1950,China,66.20915610585746
454,1951,China,67.241237171802
455,1952,China,68.75572453734458
456,1953,China,70.56345536223024
457,1954,China,72.43242272366301
458,1955,China,74.40948727829345
459,1956,China,76.02282705086854
460,1957,China,77.85639194884283
461,1958,China,79.78354699405872
462,1959,China,80.39458242241237
463,1960,China,79.57177364024236
464,1961,China,78.15700359996107
465,1962,China,78.05306321105418
466,1963,China,79.8813950733588
467,1964,China,81.57569991798573
468,1965,China,82.23168124847827
469,1966,China,82.41039118578783
470,1967,China,81.7830846923482
471,1968,China,81.16693428113325
472,1969,China,80.96197907490657
473,1970,China,80.52402709885096
474,1971,China,80.18820818069119
475,1972,China,79.48117701759746
476,1973,China,78.83123853580672
477,1974,China,79.064123324135
478,1975,China,79.50648095480108
479,1976,China,79.76281591042212
480,1977,China,78.43501132737389
481,1978,China,74.7692927139971
482,1979,China,71.05708965164612
483,1980,China,68.10963562792125
484,1981,China,65.52560724175143
485,1982,China,63.58033922377383
486,1983,China,61.37640706793659
487,1984,China,58.80794605324115
488,1985,China,56.57888338789571
489,1986,China,54.793170449701535
490,1987,China,53.585668480117576
491,1988,China,52.64233554236767
492,1989,China,52.00635381528473
493,1990,China,51.93035482632706
494,1991,China,51.86289831637886
495,1992,China,51.603329807176415
496,1993,China,51.39483872383532
497,1994,China,51.00996193869665
