,Time,Country,Old to Working Age Dependency Ratio
277,2076,Bangladesh,47.54965440102513
278,2077,Bangladesh,48.11705706953677
279,2078,Bangladesh,48.67795267266939
280,2079,Bangladesh,49.238827280743195
281,2080,Bangladesh,49.783667872599324
282,2081,Bangladesh,50.32893693117732
283,2082,Bangladesh,50.86119901246017
284,2083,Bangladesh,51.39611036924031
285,2084,Bangladesh,51.9716895438501
286,2085,Bangladesh,52.55727103275133
287,2086,Bangladesh,53.14151027865307
288,2087,Bangladesh,53.72235318264814
289,2088,Bangladesh,54.297419225493094
290,2089,Bangladesh,54.87625388760119
291,2090,Bangladesh,55.45460637425601
292,2091,Bangladesh,56.02364634388996
293,2092,Bangladesh,56.584639830420926
294,2093,Bangladesh,57.1344160532813
295,2094,Bangladesh,57.66952933013217
296,2095,Bangladesh,58.18125639675104
297,2096,Bangladesh,58.667716860952126
298,2097,Bangladesh,59.13705560096375
299,2098,Bangladesh,59.58521083937776
300,2099,Bangladesh,60.017753173727904
301,2100,Bangladesh,60.43510021572121
302,1950,Brazil,4.344960170877337
303,1951,Brazil,4.390402501767474
304,1952,Brazil,4.445543743484459
305,1953,Brazil,4.501569054861679
306,1954,Brazil,4.5584924898808366
307,1955,Brazil,4.619418756299233
308,1956,Brazil,4.6833654274458025
309,1957,Brazil,4.745746426822572
310,1958,Brazil,4.805581927430168
311,1959,Brazil,4.864636791148009
312,1960,Brazil,4.933047778705262
313,1961,Brazil,5.022872494508785
314,1962,Brazil,5.128179297816533
315,1963,Brazil,5.234913217865934
316,1964,Brazil,5.334728713471625
317,1965,Brazil,5.431261717701351
318,1966,Brazil,5.529645167649801
319,1967,Brazil,5.624373177913522
320,1968,Brazil,5.713321333690698
321,1969,Brazil,5.797198567866585
322,1970,Brazil,5.875557014074097
323,1971,Brazil,5.949798040738032
324,1972,Brazil,6.021437360638199
325,1973,Brazil,6.092433167242802
326,1974,Brazil,6.16473577002293
327,1975,Brazil,6.238516131733978
328,1976,Brazil,6.311507265963518
329,1977,Brazil,6.3799090253748805
330,1978,Brazil,6.444212324888126
331,1979,Brazil,6.507665613880039
332,1980,Brazil,6.5696711605759734
333,1981,Brazil,6.629945798350512
334,1982,Brazil,6.690745723061768
335,1983,Brazil,6.7542815387254835
336,1984,Brazil,6.822179946092528
337,1985,Brazil,6.894965747149009
338,1986,Brazil,6.97599416331928
339,1987,Brazil,7.069669669130422
340,1988,Brazil,7.17539242074997
341,1989,Brazil,7.290569412820331
342,1990,Brazil,7.406175854678324
343,1991,Brazil,7.519170249893627
344,1992,Brazil,7.635153966488183
345,1993,Brazil,7.753204809555486
346,1994,Brazil,7.8697858493533515
347,1995,Brazil,7.9810574525051665
